Accession,CD
A6NI73,CD85f
O00144,CD349
O00206,CD284
O00220,CD261
O00241,CD172b
O00481,CD277
O00574,CD186
O14672,CD156c
O14786,CD304
O14788,CD254
O14798,CD263
O14836,CD267
O14931,CD337
O15389,CD170
O15455,CD283
O43490,CD133
O43699,CD327
O60449,CD205
O60486,CD232
O60603,CD282
O75015,CD16b
O75019,CD85i
O75022,CD85a
O75023,CD85c
O75144,CD275
O75326,CD108
O75509,CD358
O76036,CD335
O95256,CD218b
O95727,CD355
O95944,CD336
O95971,CD160
P01589,CD25
P01730,CD4
P01732,CD8a
P02724,CD235a
P02730,CD233
P04156,CD230
P04216,CD90
P04233,CD74
P04234,CD3d
P04626,CD340
P04921,CD236
P05106,CD61
P05107,CD18
P05362,CD54
P05556,CD29
P06126,CD1a
P06127,CD5
P06213,CD220
P06729,CD2
P06731,CD66e
P06756,CD51
P07204,CD141
P07333,CD115
P07359,CD42b
P08069,CD221
P08138,CD271
P08174,CD55
P08183,CD243
P08195,CD98
P08473,CD10
P08514,CD41
P08571,CD14
P08575,CD45
P08582,CD228
P08637,CD16a
P08648,CD49e
P08887,CD126
P08962,CD63
P09326,CD48
P09564,CD7
P09619,CD140b
P09693,CD3g
P10721,CD117
P10747,CD28
P10966,CD8b
P11049,CD37
P11215,CD11b
P11279,CD107a
P11362,CD331
P11717,CD222
P11836,CD20
P11912,CD79a
P12314,CD64
P12318,CD32
P12821,CD143
P12830,CD324
P13224,CD42c
P13473,CD107b
P13591,CD56
P13598,CD102
P13612,CD49d
P13688,CD66a
P13726,CD142
P13987,CD59
P14151,CD62L
P14778,CD121a
P14784,CD122
P15144,CD13
P15151,CD155
P15260,CD119
P15391,CD19
P15509,CD116
P15529,CD46
P15812,CD1e
P15813,CD1d
P15941,CD227
P16070,CD44
P16109,CD62P
P16144,CD104
P16150,CD43
P16234,CD140a
P16284,CD31
P16410,CD152
P16422,CD326
P16581,CD62E
P16671,CD36
P16871,CD127
P17301,CD49b
P17813,CD105
P17927,CD35
P18627,CD223
P18827,CD138
P19022,CD325
P19256,CD58
P19320,CD106
P19397,CD53
P19438,CD120a
P19440,CD224
P20023,CD21
P20138,CD33
P20273,CD22
P20333,CD120b
P20701,CD11a
P20702,CD11c
P21453,CD363
P21589,CD73
P21730,CD88
P21757,CD204
P21802,CD332
P21926,CD9
P22413,CD203a
P22455,CD334
P22607,CD333
P22897,CD206
P23229,CD49f
P23276,CD238
P23510,CD252
P24071,CD89
P24394,CD124
P25024,CD181
P25025,CD182
P25063,CD24
P25445,CD95
P25942,CD40
P26006,CD49c
P26715,CD159a
