Accession,GeneName
A0A584,TRBV11-2
Q9BXU3,TEX13A
Q15031,LARS2
Q6PKC3,TXNDC11
P42681,TXK
P40222,TXLNA
Q8N3L3,TXLNB
Q86VQ3,TXNDC2
Q8NBS9,TXNDC5
O14530,TXNDC9
Q9BZA5,TXLNGY
O43396,TXNL1
Q16563,SYPL1
P04818,TYMS
Q9NV66,TYW1
P47897,QARS
Q13432,UNC119
Q6QN14,USP17L6P
C9JLJ4,USP17L13
D6RBQ6,USP17L17
D6R9N7,USP17L18
D6RCP7,USP17L19
D6R901,USP17L21
Q16560,SNRNP35
P26368,U2AF2
P54136,RARS
Q8IWF7,UBE2DNL
H0YL09,UBE2Q2L
A1L167,UBE2QL1
Q9BZF9,UACA
P62837,UBE2D2
P61077,UBE2D3
P51965,UBE2E1
P62253,UBE2G1
P68036,UBE2L3
Q712K3,UBE2R2
F5GYI3,UBAP1L
Q9BSL1,UBAC1
Q9NZ09,UBAP1
Q5T6F2,UBAP2
P49591,SARS
P49459,UBE2A
P63146,UBE2B
P61088,UBE2N
Q16763,UBE2S
Q9NPD8,UBE2T
Q9H832,UBE2Z
Q05086,UBE3A
Q7Z3V4,UBE3B
Q15386,UBE3C
Q7Z6J8,UBE3D
Q14139,UBE4A
O95155,UBE4B
P17480,UBTF
O14562,UBFD1
P0CB47,UBTFL1
P0CB48,UBTFL6
Q9Y5Z9,UBIAD1
Q8WU08,STK32A
Q13277,STX3
P56962,STX17
Q12846,STX4
Q8N4C7,STX19
P02766,TTR
Q6NXR4,TTI2
P33981,TTK
Q6ZVT0,TTLL10
O95922,TTLL1
Q14679,TTLL4
Q6EMB2,TTLL5
Q3SXZ7,TTLL9
Q5BVD1,TTMP
Q9BTX7,TTPAL
P49638,TTPA
A0A075B6N1,TRBV19
A0A0K0K1C4,TRBV27
A0A576,TRBV3-1
A0A0C4DH59,TRBV5-4
P41252,IARS
P0DPF7,TRBV6-3
A0A1B0GX49,TRBV6-4
A0A0K0K1E9,TRBV7-7
P04435,TRBV7-9
Q06418,TYRO3
P14679,TYR
O14994,SYN3
Q8NF91,SYNE1
Q6ZMZ3,SYNE3
Q92777,SYN2
Q9UMS6,SYNPO2
Q9UMZ2,SYNRG
P08247,SYP
Q5VXT5,SYPL2
Q7L3T8,PARS2
Q6NUM6,TYW1B
Q53H54,TRMT12
Q6IPR3,TYW3
O60294,LCMT2
A2RUC4,TYW5
O15391,YY2
P10074,ZBTB48
Q7RTZ2,USP17L1
A6NCW0,USP17L3
A6NCW7,USP17L4
A8MUK1,USP17L5
C9JJH3,USP17L10
C9JVI0,USP17L11
C9J2P7,USP17L15
D6RBM5,USP17L23
Q0WX57,USP17L24
Q01081,U2AF1
P0DN76,U2AF1L5
Q15696,ZRSR2
Q86TS7,LINC00643
Q3KQV9,UAP1L1
P51668,UBE2D1
Q9Y2X8,UBE2D4
Q96LR5,UBE2E2
Q969T4,UBE2E3
Q13404,UBE2V1
Q15819,UBE2V2
P22314,UBA1
Q8TBC4,UBA3
Q9GZZ9,UBA5
O00204,SULT2B1
Q9Y5Y6,ST14
O94768,STK17B
Q8TBR4,STAG3L4
Q9BR01,SULT4A1
Q6IMI4,SULT6B1
Q8TDW4,ST7L
P0DMN0,SULT1A4
Q9UHE8,STEAP1
O43704,SULT1B1
Q9NZ72,STMN3
P49888,SULT1E1
Q69YW2,STUM
Q5VT97,SYDE2
Q9Y285,FARSA
P59090,TSPEAR-AS2
Q92574,TSC1
P49815,TSC2
Q8WU66,TSPEAR
Q8WUA8,TSKU
Q969D9,TSLP
Q9H1Z9,TSPAN10
O95858,TSPAN15
P0C672,TSPAN19
O60637,TSPAN3
O14817,TSPAN4
P62079,TSPAN5
O43657,TSPAN6
P19075,TSPAN8
Q96NA8,TSNARE1
Q99598,TSNAX
Q9NSD9,FARSB
P35442,THBS2
Q9UI38,PRSS50
Q5TGU0,TSPO2
B1AH88,TSPO
P30536,TSPO
Q01534,TSPY1
A6NKD2,TSPY2
P0CV98,TSPY3
P0CV99,TSPY4
P0CW00,TSPY8
P0CW01,TSPY10
Q2NL82,TSR1
Q9UJK0,TSR3
Q9Y5U2,TSSC4
Q96PN8,TSSK3
Q6SA08,TSSK4
Q8N831,TSPYL6
Q8NDW8,TTC21A
Q6PF05,TTC23L
Q8N4P2,TTC30B
Q5VTQ0,TTC39B
Q6DKK2,TTC19
Q6P3X3,TTC27
Q6PID6,TTC33
A8MYJ7,TTC34
Q6PGP7,TTC37
Q5R3I4,TTC38
P53804,TTC3
Q9ULT0,TTC7A
Q15361,TTF1
Q9Y4R7,TTLL3
Q96PV0,SYNGAP1
P26651,ZFP36
Q9BZA0,TTTY10
Q9BZ98,TTTY12
Q9BZ97,TTTY13
Q9H313,TTYH1
Q9BSA4,TTYH2
P50607,TUB
A0A0B4J276,TRAV25
A0A0B4J265,TRAV26-2
P31391,SSTR4
P43308,SSR2
P51571,SSR4
Q86UX6,STK32C
Q9UEE5,STK17A
Q9Y2H1,STK38L
Q8TAV4,STOML3
Q9P2F5,STOX2
P09430,TNP1
Q16623,STX1A
Q6J9G0,STYK1
Q15833,STXBP2
Q9BZJ3,TPSD1
Q9NRR2,TPSG1
Q7RTX1,TAS1R1
Q7RTX0,TAS1R3
Q96A04,TSACC
Q5JPH6,EARS2
Q9BY10,SLC46A2
Q9BZW7,TSGA10
Q96PP4,TSGA13
P98066,TNFAIP6
O95859,TSPAN12
O95857,TSPAN13
Q96FV3,TSPAN17
O60635,TSPAN1
P41732,TSPAN7
O75954,TSPAN9
Q15631,TSN
P07996,THBS1
Q969E8,TSR2
Q86WT1,TTC30A
Q8N584,TTC39C
Q5TCY1,TTBK1
Q96AE7,TTC17
O95363,FARS2
Q96AY4,TTC28
Q8NA56,TTC29
Q49AM3,TTC31
Q5I0X7,TTC32
A6NLP5,TTC36
Q9UNY4,TTF2
O43156,TTI1
A0A0B4J280,TRAV40
A0A0B4J268,TRAV4
A0A0B4J249,TRAV5
A0A087WT03,TRAV26-1
A0A087X0M5,TRBV18
A0A5B6,TRBV28
A0A0K0K1B3,TRBV30
A0A5A2,TRBV5-8
A0A0A6YYG2,TRBV6-6
A0A0K0K1G8,TRBV10-2
A0A0K0K1G6,TRBV10-3
Q6ZWJ1,STXBP4
A0A087WT01,TRAV27
A0A087WSZ9,TRAV30
A0A0A6YYK1,TRAV8-1
A0A0A6YYJ7,TRAV8-3
A0A087WT02,TRAV9-2
A0A0B4J245,TRAV12-1
A0A5B0,TRBV14
A0A5B7,TRBV29-1
A0A1B0GX68,TRBV2
A0A589,TRBV4-3
A0A0A6YYG3,TRBV6-8
Q6UWH6,TEX261
Q9Y6I9,TEX264
Q9P2K2,TXNDC16
Q2TAA8,TSNAXIP1
Q86XW9,NME9
Q9H3M7,TXNIP
P56192,MARS
Q92797,SYMPK
Q8TAI1,TYMSOS
P40126,DCT
Q9H7C4,SYNC
O43776,NARS
Q8N205,SYNE4
Q9H7V2,SYNDIG1
A6NDD5,SYNDIG1L
Q96I59,NARS2
Q8N3V7,SYNPO
Q8TBG9,SYNPR
Q9H987,SYNPO2L
Q9HBF5,ST20
O94864,SUPT7L
P48995,TRPC1
P50226,SULT1A2
P53597,SUCLG1
O75558,STX11
Q9Y6J8,STYXL1
Q9P2W9,STX18
Q96I99,SUCLG2
Q9HAC7,SUGCT
Q8IWU6,SULF1
Q8IWU5,SULF2
P55854,SUMO3
Q8IX01,SUGP2
M5A8F1,ERVH48-1
A0A0B4J234,TRAV2
A0A075B6U4,TRAV7
A0A0B4J262,TRAV8-6
A0A0B4J271,TRAV12-3
P01733,TRBV12-3
Q9NSE4,IARS2
P25490,YY1
A6NIH7,UNC119B
Q6R6M4,USP17L2
P0C7H9,USP17L7
P0C7I0,USP17L8
D6RJB6,USP17L20
D6RA61,USP17L22
Q8WU68,U2AF1L4
Q15695,ZRSR2P1
Q5T160,RARS2
O43818,RRP9
O75643,SNRNP200
Q15029,EFTUD2
A6NN06,
Q5VV11,
Q5XG85,
Q16222,UAP1
P60604,UBE2G2
Q9Y385,UBE2J1
Q8N2K1,UBE2J2
A0A1B0GUS4,UBE2L5
O14933,UBE2L6
Q7Z7E8,UBE2Q1
Q8WVN8,UBE2Q2
P49427,CDC34
P41226,UBA7
Q8NBM4,UBAC2
Q8TB05,UBALD1
Q8IYN6,UBALD2
P0CG47,UBB
P61081,UBE2M
Q8N2H4,SYS1
Q8WVY7,UBLCP1
P0CG48,UBC
O15205,UBD
O00762,UBE2C
Q969M7,UBE2F
P62256,UBE2H
Q9C0C9,UBE2O
Q5VVX9,UBE2U
Q96B02,UBE2W
Q9BW92,TARS2
O00445,SYT5
Q7L8C5,SYT13
Q86Y82,STX12
Q8NFX7,STXBP6
P61956,SUMO2
Q6EEV6,SUMO4
Q8IWZ8,SUGP1
Q8NBK3,SUMF1
Q8NBJ7,SUMF2
O75486,SUPT3H
Q7Z4N2,TRPM1
Q9Y5S1,TRPV2
Q9HBA0,TRPV4
Q9NQA5,TRPV5
Q9H1D0,TRPV6
Q9NX95,SYBU
Q6PIF2,SYCE2
A1L190,SYCE3
Q9HA77,CARS2
Q0VAF6,SYCN
Q15431,SYCP1
Q9UQF0,ERVW-1
P14868,DARS
Q6ZW31,SYDE1
P35030,PRSS3
A0A0B4J244,TRAV3
A0A0B4J235,TRAV13-2
A0A075B6N2,TRBV20-1
Q9BY14,TEX101
Q9P2J5,LARS
Q96J42,TXNDC15
Q9BRA2,TXNDC17
Q9NUQ3,TXLNG
P83876,TXNL4A
Q9NX01,TXNL4B
Q8N427,NME8
Q6A555,TXNDC8
P53007,SLC25A1
P07101,TH
P63313,TMSB10
P62328,TMSB4X
Q9NUW8,TDP1
Q96GW9,MARS2
O95551,TDP2
P17643,TYRP1
Q2T9J0,TYSND1
Q8WXH0,SYNE2
O15061,SYNM
O43426,SYNJ1
P17600,SYN1
O15056,SYNJ2
Q16143,SNCB
P23381,WARS
Q8IYT8,ULK2
Q96C45,ULK4
Q9Y2Z4,YARS2
Q9NUM4,TMEM106B
Q9NYV9,TAS2R13
Q9NYV8,TAS2R14
O75563,SKAP2
Q8IX21,SLF2
Q1XH10,SKIDA1
Q92581,SLC9A6
P0DP57,SLURP2
Q3KNW1,SNAI3
Q14BN4,SLMAP
Q9HCE7,SMURF1
Q13485,SMAD4
Q9HBX3,SND1-IT1
A2RU48,SMCO3
Q9H4F8,SMOC1
Q9H3U7,SMOC2
Q13884,SNTB1
Q9Y5X1,SNX9
Q96KB5,PBK
Q9NRS6,SNX15
Q15036,SNX17
Q9Y5X3,SNX5
Q5VWJ9,SNX30
Q9UNH7,SNX6
Q9UNH6,SNX7
Q9H2Y9,SLCO5A1
P00441,SOD1
Q96GP6,SCARF2
Q6ZRS2,SRCAP
Q9C0H9,SRCIN1
A1L4H1,SSC5D
Q9NP77,SSU72
Q9NY57,STK32B
Q8IZP2,ST13P4
Q9H668,STN1
P0CL83,STAG3L1
P0CL84,STAG3L2
H3BQB6,STMND1
Q9Y6Q2,STON1
P0DMM9,SULT1A3
Q93045,STMN2
Q6NZ63,STEAP1B
P61266,STX1B
Q13190,STX5
Q9UMX1,SUFU
G2XKQ0,SUMO1P1
O75683,SURF6
Q9UGT4,SUSD2
Q96L08,SUSD3
Q8IYB8,SUPV3L1
Q7L0J3,SV2A
Q7L1I2,SV2B
Q8NHG7,SVIP
Q9H5I1,SUV39H2
Q8N434,SVOPL
Q8N4V2,SVOP
Q9BRV3,SLC50A1
Q1ZZU3,SWI5
P49588,AARS
Q8WUJ0,STYX
O00186,STXBP3
Q5T5C0,STXBP5
Q9BXA5,SUCNR1
Q06330,RBPJ
Q9UH99,SUN2
Q8TAQ9,SUN3
Q8TC36,SUN5
Q8NHH1,TTLL11
Q14166,TTLL12
A6NNM8,TTLL13P
Q9BWV7,TTLL2
Q8N841,TTLL6
Q6ZT98,TTLL7
A6PVC2,TTLL8
Q8NG68,TTL
P49590,HARS2
Q9C0H2,TTYH3
P12081,HARS
Q9NNX1,TUFT1
O00294,TULP1
O00295,TULP2
O75386,TULP3
Q9NRJ4,TULP4
Q2TAM9,TUSC1
O75896,TUSC2
Q5TAX3,TUT4
Q5VYS8,TUT7
Q9P2J2,IGSF9
Q9UPX0,IGSF9B
A6NH52,TVP23A
Q9NYZ1,TVP23B
Q96ET8,TVP23C
A0A0B4J264,TRAV38-1
A0JD32,TRAV38-2DV8
A0A0B4J240,TRAV10
A0A0B4J248,TRAV1-1
A0A0B4J238,TRAV1-2
A0A0A6YYC5,TRAV14DV4
A0A0A6YYK6,TRAV16
A0A0B4J275,TRAV17
A0A075B6X5,TRAV18
A0A0A6YYK7,TRAV19
A0A0B4J274,TRAV20
A0A0B4J279,TRAV21
A0A0B4J277,TRAV22
A0A075B6W5,TRAV23DV6
A0A0B4J272,TRAV24
Q9BXU2,TEX13B
O14907,TAX1BP3
O95881,TXNDC12
O14604,TMSB4Y
P29597,TYK2
O43914,TYROBP
P19971,TYMP
Q9H1A3,METTL9
Q8N468,MFSD4A
O75121,MFAP3L
Q9GZY8,MFF
Q14CX5,MFSD13A
A8MTQ0,NOTO
Q8IWI9,MGA
P61326,MAGOH
P08493,MGP
Q6N075,MFSD5
P61580,ERVK-10
Q99457,NAP1L3
Q99733,NAP1L4
Q8IXF0,NPAS3
Q14207,NPAT
A6NJU9,NPIPB13
Q96NR2,MIR1-1HG-AS1
Q9H1L0,MIR1-1HG
Q9BY65,NPCDR1
Q9NQX5,NPDC1
C9JG80,NPIPB4
Q9BXD5,NPL
Q6UXI9,NPNT
Q9HAP2,MLXIP
P09238,MMP10
Q96EY8,MMAB
Q9Y4U1,MMACHC
Q9H3L0,MMADHC
A0A0U1RRL7,MMP24OS
Q495T6,MMEL1
Q9NRE1,MMP26
Q9H8L6,MMRN2
Q9BU76,MMTAG2
Q6ZRQ5,MMS22L
P08253,MMP2
Q9NWW6,NMRK1
Q9NPI5,NMRK2
P54845,NRL
Q496H8,NRN1L
O14786,NRP1
Q9Y4C0,NRXN3
P61970,NUTF2
P78549,NTHL1
Q86TA1,MOB3B
Q5VZ52,MORN5
O15427,SLC16A3
O95396,MOCS3
Q8NDA8,MROH1
Q9UKD2,MRTO4
O15439,ABCC4
Q6P1R3,MSANTD2
Q8IWA4,MFN1
P46531,NOTCH1
Q86XN8,MEX3D
Q6ZSS7,MFSD6
Q04721,NOTCH2
Q8IWD5,MFSD6L
Q9H3U5,MFSD1
Q2M2H8,MGAM2
Q9BY79,MFRP
P51513,NOVA1
