Accession,HLA
P01891,HLA-A
P01892,HLA-A
P04439,HLA-A
P05534,HLA-A
P10314,HLA-A
P10316,HLA-A
P13746,HLA-A
P16188,HLA-A
P16189,HLA-A
P16190,HLA-A
P18462,HLA-A
P30443,HLA-A
P30447,HLA-A
P30450,HLA-A
P30453,HLA-A
P30455,HLA-A
P30456,HLA-A
P30457,HLA-A
P30459,HLA-A
P30512,HLA-A
Q09160,HLA-A
P01889,HLA-B
P03989,HLA-B
P10319,HLA-B
P18463,HLA-B
P18464,HLA-B
P18465,HLA-B
P30460,HLA-B
P30461,HLA-B
P30462,HLA-B
P30464,HLA-B
P30466,HLA-B
P30475,HLA-B
P30479,HLA-B
P30480,HLA-B
P30481,HLA-B
P30483,HLA-B
P30484,HLA-B
P30485,HLA-B
P30486,HLA-B
P30487,HLA-B
P30488,HLA-B
P30490,HLA-B
P30491,HLA-B
P30492,HLA-B
P30493,HLA-B
P30495,HLA-B
P30498,HLA-B
P30685,HLA-B
Q04826,HLA-B
Q29718,HLA-B
Q29836,HLA-B
Q29940,HLA-B
Q31610,HLA-B
Q31612,HLA-B
Q95365,HLA-B
P04222,HLA-C
P10321,HLA-C
P30499,HLA-C
P30501,HLA-C
P30504,HLA-C
P30505,HLA-C
P30508,HLA-C
P30510,HLA-C
Q07000,HLA-C
Q29865,HLA-C
Q29960,HLA-C
Q29963,HLA-C
Q95604,HLA-C
Q9TNN7,HLA-C
P28067,HLA-DMA
P28068,HLA-DMB
P06340,HLA-DOA
P13765,HLA-DOB
P20036,HLA-DPA1
P04440,HLA-DPB1
P01909,HLA-DQA1
P01906,HLA-DQA2
P01920,HLA-DQB1
P05538,HLA-DQB2
P01903,HLA-DRA
P01911,HLA-DRB1
P01912,HLA-DRB1
P04229,HLA-DRB1
P13760,HLA-DRB1
P13761,HLA-DRB1
P20039,HLA-DRB1
Q29974,HLA-DRB1
Q30134,HLA-DRB1
Q30167,HLA-DRB1
Q5Y7A7,HLA-DRB1
Q95IE3,HLA-DRB1
Q9GIY3,HLA-DRB1
Q9TQE0,HLA-DRB1
P79483,HLA-DRB3
P13762,HLA-DRB4
Q30154,HLA-DRB5
P13747,HLA-E
P30511,HLA-F
P17693,HLA-G
P01893,HLA-H
