Accession,CD
P08473, CD10
Q92854, CD100
Q93033, CD101
P13598, CD102
P38570, CD103
P16144, CD104
P17813, CD105
P19320, CD106
P11279, CD107a
P13473, CD107b
O75326, CD108
Q6YHK3, CD109
P40238, CD110
Q15223, CD111
Q92692, CD112
Q9NQS3, CD113
Q99062, CD114
P07333, CD115
P15509, CD116
P10721, CD117
P42702, CD118
P15260, CD119
P20701, CD11a
P11215, CD11b
P20702, CD11c
Q13349, CD11d
P19438, CD120a
P20333, CD120b
P14778, CD121a
P27930, CD121b
P14784, CD122
P26951, CD123
P24394, CD124
Q01344, CD125
P08887, CD126
P16871, CD127
Q01113, CD129
P15144, CD13
P40189, CD130
P32927, CD131
P31785, CD132
O43490, CD133
P43489, CD134
P36888, CD135
Q04912, CD136
Q07011, CD137
P18827, CD138
P08571, CD14
P16234, CD140a
P09619, CD140b
P07204, CD141
P13726, CD142
P12821, CD143
P33151, CD144
P43121, CD146
P35613, CD147
Q12913, CD148
Q13291, CD150
P48509, CD151
P16410, CD152
P32971, CD153
P29965, CD154
P15151, CD155
P78325, CD156a
P78536, CD156b
O14672, CD156c
Q10588, CD157
P43626, CD158a
P43627, CD158b1
P43628, CD158b2
Q99706, CD158d
P43629, CD158e
Q8N109, CD158f1
Q8NHK3, CD158f2
Q14953, CD158g
Q14954, CD158h
P43632, CD158i
P43631, CD158j
P43630, CD158k
Q8N743, CD158z
P26715, CD159a
P26717, CD159c
O95971, CD160
Q12918, CD161
Q14242, CD162
Q86VB7, CD163
Q9NR16, CD163b
Q04900, CD164
Q13740, CD166
Q08345, CD167a
Q16832, CD167b
O75330, CD168
Q9BZZ2, CD169
P08637, CD16a
O75015, CD16b
O15389, CD170
P32004, CD171
P78324, CD172a
O00241, CD172b
Q9P1W8, CD172g
Q8N6Q3, CD177
P48023, CD178
P12018, CD179a
P15814, CD179b
P05107, CD18
Q99467, CD180
P25024, CD181
P25025, CD182
P49682, CD183
P61073, CD184
P32302, CD185
O00574, CD186
P15391, CD19
P32246, CD191
P41597, CD192
P51677, CD193
P51679, CD194
P51681, CD195
P51684, CD196
P32248, CD197
P06126, CD1a
P29016, CD1b
P29017, CD1c
P15813, CD1d
P15812, CD1e
P06729, CD2
P11836, CD20
P41217, CD200
Q9UNN8, CD201
Q02763, CD202b
O14638, CD203c
P21757, CD204
O60449, CD205
P22897, CD206
Q9UJ71, CD207
Q9UQV4, CD208
Q9NNX6, CD209
P20023, CD21
Q13651, CD210
P42701, CD212
P78552, CD213a1
Q14627, CD213a2
Q13261, CD215
Q96F46, CD217
Q13478, CD218a
O95256, CD218b
P20273, CD22
P06213, CD220
P08069, CD221
P11717, CD222
P18627, CD223
P19440, CD224
P13164, CD225
Q15762, CD226
P15941, CD227
P08582, CD228
Q9HBG7, CD229
P06734, CD23
P04156, CD230
P41732, CD231
O60486, CD232
P02730, CD233
Q16570, CD234
P02724, CD235a
P06028, CD235b
P04921, CD236
P23276, CD238
P50895, CD239
P25063, CD24
P18577, CD240CE
Q02161, CD240D
Q02094, CD241
Q14773, CD242
P08183, CD243
Q9BZW8, CD244
Q9UM73, CD246
P20963, CD247
Q9HCU0, CD248
Q07075, CD249
P01589, CD25
P23510, CD252
P50591, CD253
O14788, CD254
O75888, CD256
Q9Y275, CD257
O43557, CD258
P27487, CD26
O00220, CD261
O14763, CD262
O14798, CD263
Q9UBN6, CD264
Q9Y6Q6, CD265
Q9NP84, CD266
O14836, CD267
Q96RJ3, CD268
Q02223, CD269
P26842, CD27
Q92956, CD270
P08138, CD271
Q7Z6A9, CD272
Q9BQ51, CD273
Q9NZQ7, CD274
O75144, CD275
Q5ZPR3, CD276
O00481, CD277
Q9Y6W8, CD278
Q15116, CD279
P10747, CD28
Q9UBG0, CD280
Q15399, CD281
O60603, CD282
O15455, CD283
O00206, CD284
Q9Y2C9, CD286
Q9NR97, CD288
Q9NR96, CD289
P05556, CD29
Q9BXR5, CD290
P36894, CD292
Q9Y5Y4, CD294
P48357, CD295
P52961, CD296
Q93070, CD297
P54709, CD298
Q9H2X3, CD299
P28908, CD30
Q9UGN4, CD300a
A8K4G0, CD300b
Q08708, CD300c
Q6UXZ3, CD300d
Q496F6, CD300e
Q8TDQ1, CD300f
Q6UXG3, CD300g
Q8IUN9, CD301
Q8IX05, CD302
Q8WTT0, CD303
O14786, CD304
Q6GTX8, CD305
Q6ISS4, CD306
Q96LA6, CD307a
Q96LA5, CD307b
Q96P31, CD307c
Q96PJ5, CD307d
Q96RD9, CD307e
P35968, CD309
P16284, CD31
Q9UHX3, CD312
P26718, CD314
Q9P2B2, CD315
Q969P0, CD316
Q10589, CD317
Q9H5V8, CD318
Q9NQ25, CD319
P31995, CD32
P31994, CD32
P12318, CD32
Q9NPF0, CD320
Q9Y624, CD321
P57087, CD322
P12830, CD324
P19022, CD325
P16422, CD326
O43699, CD327
Q9Y286, CD328
Q9Y336, CD329
P20138, CD33
P11362, CD331
P21802, CD332
P22607, CD333
P22455, CD334
O76036, CD335
O95944, CD336
O14931, CD337
Q9UNQ0, CD338
P78504, CD339
P28906, CD34
P04626, CD340
Q9ULV1, CD344
O00144, CD349
P17927, CD35
Q9ULW2, CD350
Q8WWV6, CD351
Q96DU3, CD352
Q9P0V8, CD353
Q9NP99, CD354
O95727, CD355
Q9Y5U5, CD357
O75509, CD358
P16671, CD36
Q9HBE5, CD360
P34910, CD361
P34741, CD362
P21453, CD363
Q6UXB8, CD364
Q96D42, CD365
