Accession,CD
Q61391, CD10
O09126, CD100
A8E0Y8, CD101
P35330, CD102
Q60677, CD103
A2A863, CD104
Q63961, CD105
P29533, CD106
P11438, CD107a
P17047, CD107b
Q9QUR8, CD108
Q8R422, CD109
Q08351, CD110
Q9JKF6, CD111
P32507, CD112
Q9JLB9, CD113
P40223, CD114
P09581, CD115
Q00941, CD116
P05532, CD117
P42703, CD118
P15261, CD119
P24063, CD11a
P05555, CD11b
Q9QXH4, CD11c
Q3V0T4, CD11d
P25118, CD120a
P25119, CD120b
P13504, CD121a
P27931, CD121b
P16297, CD122
P26952, CD123
P16382, CD124
P21183, CD125
P22272, CD126
P16872, CD127
Q01114, CD129
P97449, CD13
Q00560, CD130
P26955, CD131
P34902, CD132
O54990, CD133
P47741, CD134
Q00342, CD135
Q62190, CD136
P20334, CD137
P18828, CD138
P10810, CD14
P26618, CD140a
P05622, CD140b
P15306, CD141
P20352, CD142
P09470, CD143
P55284, CD144
Q8R2Y2, CD146
P18572, CD147
Q64455, CD148
Q9QUM4, CD150
O35566, CD151
P09793, CD152
P32972, CD153
P27548, CD154
Q05910, CD156a
Q9Z0F8, CD156b
O35598, CD156c
Q64277, CD157
P83555, CD158e
P08508, CD16
O88875, CD160
P27811, CD161a
P27812, CD161b
Q99JB4, CD161b
P27814, CD161c
Q8VD98, CD161f
Q62170, CD162
Q2VLH6, CD163
Q9R0L9, CD164
Q61490, CD166
Q03146, CD167a
Q62371, CD167b
Q00547, CD168
Q62230, CD169
Q920G3, CD170
P11627, CD171
P97797, CD172a
Q8R2S8, CD177
P41047, CD178
P13372, CD179a
P20764, CD179b
P11835, CD18
Q62192, CD180
Q810W6, CD181
P35343, CD182
O88410, CD183
P70658, CD184
Q04683, CD185
Q9EQ16, CD186
P25918, CD19
P51675, CD191
P51683, CD192
P51678, CD193
P51680, CD194
P51682, CD195
O54689, CD196
P47774, CD197
P11609, CD1d.1
P11610, CD1d.2
P08920, CD2
P19437, CD20
O54901, CD200
Q64695, CD201
Q02858, CD202b
Q6DYE8, CD203c
P30204, CD204
Q60767, CD205
Q61830, CD206
Q8VBX4, CD207
Q7TST5, CD208
Q91ZW9, CD209
Q91ZW8, CD209
Q91ZW7, CD209
Q8CJ91, CD209
Q91ZX1, CD209
P19070, CD21
Q61727, CD210
Q60837, CD212
O09030, CD213a1
O88786, CD213a2
Q60819, CD215
Q60943, CD217
Q61098, CD218a
Q9Z2B1, CD218b
P35329, CD22
P15208, CD220
Q60751, CD221
Q07113, CD222
Q61790, CD223
Q60928, CD224
Q8K4F0, CD226
Q02496, CD227
Q9R0R1, CD228
Q01965, CD229
P20693, CD23
P04925, CD230
Q62283, CD231
Q9QZC2, CD232
P04919, CD233
Q9QUI6, CD234
P14220, CD235a
Q78HU7, CD236
Q9EQF2, CD238
Q9R069, CD239
P24807, CD24
Q8CF94, CD240D
Q9QUT0, CD241
Q9ERM2, CD242
P06795, CD243
Q07763, CD244
P97793, CD246
P24161, CD247
Q91V98, CD248
P16406, CD249
P01590, CD25
P43488, CD252
P50592, CD253
O35235, CD254
Q9D777, CD256
Q9WU72, CD257
Q9QYH9, CD258
P28843, CD26
Q9QZM4, CD262
O35305, CD265
Q9CR75, CD266
