Accession,GeneName
Q62302,Tex261
Q7TN22,Txndc16
Q9CQM5,Txndc17
Q6PAM1,Txlna
Q8BHN1,Txlng
Q8BUH1,Txnl4b
Q6P902,Txndc2
Q91W90,Txndc5
Q8CDN6,Txnl1
Q8BWB1,Synpo2l
Q8CFI5,Pars2
Q8BSA9,Tyw3
Q8BYR1,Lcmt2
A2RSX7,Tyw5
Q00899,Yy1
Q3TTC2,Yy2
Q8BML9,Qars
Q9D883,U2af1
P26369,U2af2
Q62377,Zrsr2
Q6ZWY6,Ube2d2b
A0PJN4,Ube2ql1
Q3TW96,Uap1l1
Q91YN5,Uap1
P61080,Ube2d1
P62838,Ube2d2
Q91W82,Ube2e2
Q9CY34,Ube2f
Q3UWQ3,Ube2fb
P62254,Ube2g1
P60605,Ube2g2
Q6P073,Ube2j2
Q8K2Z8,Ube2q2
Q8CFI2,Cdc34
Q9D2M8,Ube2v2
P31254,Uba1y
Q02053,Uba1
Q8C878,Uba3
Q8VE47,Uba5
Q8C7R4,Uba6
Q8VDI7,Ubac1
Q8R1K1,Ubac2
Q8BH48,Ubap1
P61082,Ube2m
P26638,Sars
Q9JJL8,Sars2
P63072,Ubd
P62257,Ube2h
P61087,Ube2k
Q6ZPJ3,Ube2o
Q921J4,Ube2s
Q8VDW4,Ube2w
Q9ES34,Ube3b
Q80U95,Ube3c
Q8BX13,Ube3d
E9Q735,Ube4a
Q9ES00,Ube4b
P25976,Ubtf
Q78JW9,Ubfd1
Q3USZ2,Ubtfl1
Q9DC60,Ubiad1
Q9WUM5,Suclg1
P70452,Stx4
Q9Z2I8,Suclg2
Q62187,Ttf1
Q5NC05,Ttf2
P35761,Ttk
A4Q9F4,Ttll11
A4Q9F6,Ttll13
A4Q9E4,Ttll2
Q80UG8,Ttll4
Q8CHB8,Ttll5
A4Q9E8,Ttll6
A4Q9F1,Ttll8
A2APC3,Ttll9
F6SEU4,Syngap1
Q9D3D0,Ttpal
P01734,
P01736,
P06320,
P07147,Tyrp1
Q8JZP2,Syn3
