Accession,CD
P30836, CD62L
P98106, CD62P
Q05695, CD171
Q9JHY1, CD321
P14562, CD107a
P17046, CD107b
Q9QWJ9, CD304
Q63722, CD339
P49134, CD29
Q64632, CD104
P22273, CD126
Q02955, CD121a
Q9Z0M4, CD46
P18614, CD49a
P43245, CD243
P07861, CD10
P13596, CD56
Q62959, CD295
P13838, CD43
Q3SWT0, CD31
P40190, CD130
Q63257, CD124
Q63474, CD167a
P13852, CD230
O70215, CD314
P97710, CD172a
P98105, CD62E
A4KWA1, CD161b
Q5NKN4, CD161b
Q5BK54, CD223
Q5XI99, CD208
Q4TU93, CD280
Q5NKN2, CD161b
P0C1X9, CD305
Q9EPF2, CD146
P26896, CD122
P83556, CD158e
P43303, CD121b
Q9QYE7, CD11d
O35778, CD94
O70535, CD118
P27471, CD161a
Q9Z0H5, CD335
Q8CFD9, CD337
P26897, CD25
P48303, CD363
P26260, CD138
Q5BK49, CD96
P27615, CD36
P34900, CD362
P49616, CD87
Q9Z2P3, CD252
P29534, CD106
O08775, CD309
Q99376, CD71
P42533, CD142
Q9ESE2, CD254
P07174, CD271
D3ZF92, CD358
P15725, CD134
Q9QX05, CD284
P01830, CD90
P36940, CD178
Q80WY6, CD120b
P97525, CD30
P22934, CD120a
Q63199, CD95
Q8VII6, CD92
Q9JII9, CD183
P35407, CD182
O08565, CD184
P34997, CD185
P70612, CD181
Q9JLM2, CD244
P97829, CD47
Q78EA7, CD292
P97520, CD88
Q9R0T4, CD324
O08556, CD195
O54814, CD193
O35112, CD166
P10252, CD48
Q07969, CD36
Q63493, CD1d
P31053, CD37
P27274, CD59
P08921, CD2
O70352, CD82
P16573, CD66a
Q9QZA6, CD151
Q64244, CD38
Q9Z2V2, CD154
P05540, CD4
P40241, CD9
P19377, CD3d
P07725, CD8a
P05541, CD8b
Q07490, CD24
P24485, CD53
P51882, CD5
Q62745, CD81
P26051, CD44
O55193, CD192
Q7TPB4, CD276
Q5FVR3, CD302
Q9Z1Y3, CD325
Q8R1R5, CD99
Q63691, CD14
P31042, CD28
P28648, CD63
Q5HZW5, CD320
Q64159, CD3g
Q9ET61, CD93
Q6PNM1, CD272
Q811A2, CD317
Q63072, CD157
Q67EQ0, CD367
Q63064, CD52
O88298, CD240D
Q7TNK7, CD241
P20786, CD140a
Q05030, CD140b
P47820, CD143
Q9Z1K9, CD156b
Q10743, CD156c
Q794F9, CD98
Q80W57, CD338
P15684, CD13
P50123, CD249
P21588, CD73
Q566E6, CD300f
P23562, CD233
Q63377, CD298
D4AD02, CD370
A2TGX5, CD300a
Q69FH1, CD368
P26453, CD147
Q9ESS6, CD239
P04218, CD200
P04157, CD45
P15127, CD220
Q8VHK6, CD213a2
Q00238, CD54
P07314, CD224
P24062, CD221
Q9R1T7, CD278
O54947, CD365
P0C0K5, CD366
Q9JJM7, CD42c
P97687, CD39
Q6XFR6, CD236
Q4V8I1, CD201
P27645, CD16
Q04589, CD331
Q00495, CD115
P97675, CD203c
P06494, CD340
O55159, CD326
O08770, CD42d
P14740, CD26
P10247, CD74
P97779, CD168
Q9QZH0, CD344
Q62786, CD315
Q498D6, CD334
Q63203, CD32
