Accession,ProteinName,GeneName,,
Q4QQV1,Tax1-binding protein 3,Tax1bp3,,
Q5XHX6,Thioredoxin domain-containing protein 2 (Spermatid-specific thioredoxin-1) (Sptrx-1),Txndc2,,
Q715S9,Thioredoxin domain-containing protein 3 (NME/NM23 family member 8) (Spermatid-specific thioredoxin-2) (Sptrx-2),Nme8,,
Q8K581,Thioredoxin domain-containing protein 9 (ES cell-related protein),Txndc9,,
P45352,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),Tyms,,
Q66H61,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),Qars,,
P70711,Ubiquitin-conjugating enzyme E2 D2B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D2B) (Ubiquitin carrier protein D2B) (Ubiquitin-conjugating enzyme E2(17)KB 2B) (Ubiquitin-conjugating enzyme E2-17 kDa 2B) (Ubiquitin-protein ligase D2B),Ube2d2b,,
P61078,Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Phosphoarginine phosphatase) (PAPase) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3),Ube2d3,,
P62255,"Ubiquitin-conjugating enzyme E2 G1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G1) (E217K) (UBC7) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed]",Ube2g1,,
Q4V8J2,Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6),Ube2l6,,
Q7M767,Ubiquitin-conjugating enzyme E2 variant 2 (Ubiquitin-conjugating enzyme variant MMS2),Ube2v2,,
Q99MI7,NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.-) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3),Uba3,,
Q5M7A4,Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1),Uba5,,
Q5XIR9,Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (E3 ubiquitin-protein ligase subunit KPC2) (Kip1 ubiquitination-promoting complex protein 2),Ubac1,,
Q5XIS7,Ubiquitin-associated protein 1 (UBAP-1),Ubap1,,
Q5FWT7,Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1),Ublcp1,,
Q921A3,Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10),Ubd,,
Q9EQX9,Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N),Ube2n,,
B5DEI4,Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.25) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.23) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-protein ligase W),Ube2w,,
Q3T1H6,E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein),Ube3d,,
Q6P7A2,Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A),Ube4a,,
P25977,Nucleolar transcription factor 1 (Upstream-binding factor 1) (UBF-1),Ubtf,,
D3ZG27,UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-),Ubiad1,,
Q9WU70,Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1),Stxbp5,,
Q710E6,SUN domain-containing ossification factor (Membrane protein CH1) (Protein osteopotentia homolog) (SUN-like protein 1),Suco,,
P02767,Transthyretin (Prealbumin) (TBPA),Ttr,,
Q641W7,Probable tubulin polyglutamylase TTLL9 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 9),Ttll9,,
Q9QUH6,Ras/Rap GTPase-activating protein SynGAP (Neuronal RasGAP) (Synaptic Ras GTPase-activating protein 1) (Synaptic Ras-GAP 1) (p135 SynGAP),Syngap1,,
P41034,Alpha-tocopherol transfer protein (Alpha-TTP),Ttpa,,
P0C5X8,Protein tweety homolog 1,Ttyh1,,
P55146,Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase SKY),Tyro3,,
Q63537,Synapsin-2 (Synapsin II),Syn2,,
O70441,Synapsin-3 (Synapsin III),Syn3,,
P09951,Synapsin-1 (Synapsin I),Syn1,,
P22831,Synaptoporin,Synpr,,
Q9JKC9,Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin),Synrg,,
Q5M7W7,"Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)",Pars2,,
Q4V8B8,tRNA wybutosine-synthesizing protein 2 homolog (tRNA-yW-synthesizing protein 2) (EC 2.5.1.114) (tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase),Trmt12,,
