Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]
Q06393	CLCKA_RAT	reviewed	Chloride channel protein ClC-Ka (Chloride channel Ka) (ClC-K1)	Clcnka Clcnk1	Rattus norvegicus (Rat)	687	TRANSMEM 52 72 Helical. {ECO:0000255}.; TRANSMEM 94 114 Helical. {ECO:0000255}.; TRANSMEM 161 181 Helical. {ECO:0000255}.; TRANSMEM 204 224 Helical. {ECO:0000255}.; TRANSMEM 236 256 Helical. {ECO:0000255}.; TRANSMEM 282 302 Helical. {ECO:0000255}.; TRANSMEM 325 345 Helical. {ECO:0000255}.; TRANSMEM 396 416 Helical. {ECO:0000255}.; TRANSMEM 417 437 Helical. {ECO:0000255}.; TRANSMEM 458 478 Helical. {ECO:0000255}.; TRANSMEM 486 506 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q5HZW3	ASPH2_RAT	reviewed	Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-)	Asphd2	Rattus norvegicus (Rat)	343	TRANSMEM 32 52 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
P62957	CCG7_RAT	reviewed	Voltage-dependent calcium channel gamma-7 subunit (Neuronal voltage-gated calcium channel gamma-7 subunit) (Transmembrane AMPAR regulatory protein gamma-7) (TARP gamma-7)	Cacng7	Rattus norvegicus (Rat)	275	TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 103 123 Helical. {ECO:0000255}.; TRANSMEM 129 149 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000250}.
Q4V897	CC90B_RAT	reviewed	Coiled-coil domain-containing protein 90B, mitochondrial	Ccdc90b	Rattus norvegicus (Rat)	256	TRANSMEM 231 253 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q9GZT6}; Single-pass membrane protein {ECO:0000255}.
P31211	CBG_RAT	reviewed	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	Serpina6 Cbg	Rattus norvegicus (Rat)	396		SUBCELLULAR LOCATION: Secreted.
P18886	CPT2_RAT	reviewed	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	Cpt2 Cpt-2	Rattus norvegicus (Rat)	658		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:17585909}; Peripheral membrane protein {ECO:0000269|PubMed:17585909}; Matrix side {ECO:0000269|PubMed:17585909}.
Q4V7C8	CEP55_RAT	reviewed	Centrosomal protein of 55 kDa (Cep55)	Cep55	Rattus norvegicus (Rat)	462		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q53EZ4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q53EZ4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q53EZ4}. Cleavage furrow {ECO:0000250|UniProtKB:Q53EZ4}. Midbody, Midbody ring {ECO:0000250|UniProtKB:Q53EZ4}. Note=Present at the centrosomes at interphase. A small portion is associated preferentially with the mother centriole, whereas the majority localizes to the pericentriolar material. During mitosis, loses affinity for the centrosome at the onset of prophase and diffuses throughout the cell. This dissociation from the centrosome is phosphorylation-dependent. May remain localized at the centrosome during mitosis in certain cell types. Appears at the cleavage furrow in late anaphase and in the midbody in cytokinesis. {ECO:0000250|UniProtKB:Q53EZ4}.
P00176	CP2B1_RAT	reviewed	Cytochrome P450 2B1 (EC 1.14.14.1) (CYPIIB1) (Cytochrome P450-B) (Cytochrome P450b) (Cytochrome P450-LM2) (Cytochrome P450-PB1) (Cytochrome P450-PB2)	Cyp2b1 Cyp2b-1	Rattus norvegicus (Rat)	491		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein. Mitochondrion inner membrane {ECO:0000305|PubMed:19401463}; Peripheral membrane protein {ECO:0000305|PubMed:19401463}. Note=Post-translationally targeted to mitochondria. Requires the cytosolic chaperones HSP70 and HSP90, for initial targeting to mitochondria, and then requires all three of the receptor proteins in the TOM complex, TOMM70, TOMM20 and TOMM22 for translocation across the mitochondrial outer membrane. After translocation into the matrix, associates with the inner membrane as a membrane extrinsic protein. {ECO:0000305|PubMed:19401463}.
Q9QZ81	AGO2_RAT	reviewed	Protein argonaute-2 (Argonaute2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Golgi ER protein 95 kDa) (GERp95) (Protein slicer)	Ago2 Eif2c2	Rattus norvegicus (Rat)	860		SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000255|HAMAP-Rule:MF_03031}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03031}. Note=Translational repression of mRNAs results in their recruitment to P-bodies. Translocation to the nucleus requires IMP8. {ECO:0000255|HAMAP-Rule:MF_03031}.
P10066	CRGB_RAT	reviewed	Gamma-crystallin B (Gamma-B-crystallin) (Gamma-crystallin 1-2)	Crygb	Rattus norvegicus (Rat)	175		
