"noiso"	"SPC"	"geneName"	"Transmembrane"	"CC"	"CD"	"CSPA..e"	"HLA"
"Q06393"	2	"Clcnka Clcnk1"	"TRANSMEM 52 72 Helical. {ECO:0000255}.; TRANSMEM 94 114 Helical. {ECO:0000255}.; TRANSMEM 161 181 Helical. {ECO:0000255}.; TRANSMEM 204 224 Helical. {ECO:0000255}.; TRANSMEM 236 256 Helical. {ECO:0000255}.; TRANSMEM 282 302 Helical. {ECO:0000255}.; TRANSMEM 325 345 Helical. {ECO:0000255}.; TRANSMEM 396 416 Helical. {ECO:0000255}.; TRANSMEM 417 437 Helical. {ECO:0000255}.; TRANSMEM 458 478 Helical. {ECO:0000255}.; TRANSMEM 486 506 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein."	NA	NA	NA
"Q5HZW3"	1	"Asphd2"	"TRANSMEM 32 52 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	NA	NA
"P62957"	2	"Cacng7"	"TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 103 123 Helical. {ECO:0000255}.; TRANSMEM 129 149 Helical. {ECO:0000255}.; TRANSMEM 179 199 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000250}."	NA	NA	NA
"Q4V897"	2	"Ccdc90b"	"TRANSMEM 231 253 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250|UniProtKB:Q9GZT6}; Single-pass membrane protein {ECO:0000255}."	NA	NA	NA
"P31211"	0	"Serpina6 Cbg"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"P18886"	0	"Cpt2 Cpt-2"	""	"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:17585909}; Peripheral membrane protein {ECO:0000269|PubMed:17585909}; Matrix side {ECO:0000269|PubMed:17585909}."	NA	NA	NA
"Q4V7C8"	1	"Cep55"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q53EZ4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q53EZ4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q53EZ4}. Cleavage furrow {ECO:0000250|UniProtKB:Q53EZ4}. Midbody, Midbody ring {ECO:0000250|UniProtKB:Q53EZ4}. Note=Present at the centrosomes at interphase. A small portion is associated preferentially with the mother centriole, whereas the majority localizes to the pericentriolar material. During mitosis, loses affinity for the centrosome at the onset of prophase and diffuses throughout the cell. This dissociation from the centrosome is phosphorylation-dependent. May remain localized at the centrosome during mitosis in certain cell types. Appears at the cleavage furrow in late anaphase and in the midbody in cytokinesis. {ECO:0000250|UniProtKB:Q53EZ4}."	NA	NA	NA
"P00176"	0	"Cyp2b1 Cyp2b-1"	""	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein. Mitochondrion inner membrane {ECO:0000305|PubMed:19401463}; Peripheral membrane protein {ECO:0000305|PubMed:19401463}. Note=Post-translationally targeted to mitochondria. Requires the cytosolic chaperones HSP70 and HSP90, for initial targeting to mitochondria, and then requires all three of the receptor proteins in the TOM complex, TOMM70, TOMM20 and TOMM22 for translocation across the mitochondrial outer membrane. After translocation into the matrix, associates with the inner membrane as a membrane extrinsic protein. {ECO:0000305|PubMed:19401463}."	NA	NA	NA
"Q9QZ81"	0	"Ago2 Eif2c2"	""	"SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000255|HAMAP-Rule:MF_03031}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03031}. Note=Translational repression of mRNAs results in their recruitment to P-bodies. Translocation to the nucleus requires IMP8. {ECO:0000255|HAMAP-Rule:MF_03031}."	NA	NA	NA
"P10066"	0	"Crygb"	""	""	NA	NA	NA
