Accession,GeneName
Q4QQV1,Tax1bp3
Q5XHX6,Txndc2
Q715S9,Nme8
Q8K581,Txndc9
P45352,Tyms
Q66H61,Qars
P70711,Ube2d2b
P61078,Ube2d3
P62255,Ube2g1
Q4V8J2,Ube2l6
Q7M767,Ube2v2
Q99MI7,Uba3
Q5M7A4,Uba5
Q5XIR9,Ubac1
Q5XIS7,Ubap1
Q5FWT7,Ublcp1
Q921A3,Ubd
Q9EQX9,Ube2n
B5DEI4,Ube2w
Q3T1H6,Ube3d
Q6P7A2,Ube4a
P25977,Ubtf
D3ZG27,Ubiad1
Q9WU70,Stxbp5
Q710E6,Suco
P02767,Ttr
Q641W7,Ttll9
Q9QUH6,Syngap1
P41034,Ttpa
P0C5X8,Ttyh1
P55146,Tyro3
Q63537,Syn2
O70441,Syn3
P09951,Syn1
P22831,Synpr
Q9JKC9,Synrg
Q5M7W7,Pars2
Q4V8B8,Trmt12
Q5U1W5,Snrnp35
D3ZDK2,Ube2d1
P62839,Ube2d2
Q5U300,Uba1
Q07984,Ssr4
P22789,St2a2
Q68FW3,St7l
D4AB66,Ston2
G3V9R3,Sult1d1
Q6IYF9,Sucnr1
P23739,Si
Q68FU8,Sugp1
Q07116,Suox
Q9Z136,Tsc1
P21463,Tshr
P60531,Tsks
Q6QMY6,Tsku
Q9R1M3,Tspy1
Q5XIB1,Tssc4
P70537,Tsx
D3ZC96,Ttc39b
Q0VGK2,Ttc39c
D4A6D7,Ttc19
P47973,Zfp36
P52845,Ste2
Q4KLK9,Ssu72
Q6AYD2,Stn1
Q4FZT0,Stoml2
P52847,Sult1b1
Q9WUW8,Sult1c2
Q9JHU6,Stmn3
P32851,Stx1a
Q68FW4,Stx18
P50343,Tpsb2
P32822,
Q9Z0R8,Tas1r1
Q4QRB2,Syf2
Q9QZI7,Trnau1ap
P49816,Tsc2
Q9Z220,Tsga10
D3ZKB9,Tshz3
P04652,Tshb
Q569A2,Tspan12
Q4V8E0,Tspan17
Q6AYR9,Tspan1
Q9JJW1,Tspan2
P49744,Thbs4
P16257,Tspo
B5DEL3,Ttc17
Q6AYQ3,Fars2
Q6AYP3,Ttc29
Q6P5P3,Ttc9c
Q5BJW3,Tex261
Q498E0,Txndc12
Q5BJT4,Txndc15
Q69AB1,Txndc8
Q5M7W1,Txnip
P32089,Slc25a1
P62329,Tmsb4x
Q3T1H5,Tdp2
Q5M844,Syne4
Q62910,Synj1
D4A702,Synpo2
Q9Z327,Synpo
P07825,Syp
P63047,Sult4a1
P17988,Sult1a1
Q9Z2Q7,Stx8
Q5XIF4,Sumo3
P50235,
Q5XIA3,Lcmt2
P0C6P6,Yy2
Q62885,Unc119
Q7TP17,U2af1l4
P40329,Rars
F1LNJ2,Snrnp200
Q6AXN0,Ubald1
P0CG51,Ubb
Q6P799,Sars
Q5U203,Ube2f
B5DFI8,Ube2s
Q3B7D1,Ube2z
Q62746,Syt6
P97610,Syt12
P61265,Stx1b
Q8VI60,Sulf1
Q2WEA5,Trpm1
E9PTA2,Trpm2
Q9ESQ5,Trpm4
Q9WUD2,Trpv2
Q9JIP0,Trpv5
Q5XHZ2,Syce1
O35775,Sycn
Q63520,Sycp3
Q4KM92,Pus1
Q3KRD0,Dars2
P00763,Prss2
P12788,Try4
P63312,Tmsb10
Q4G056,Tdp1
Q6X9T7,Tyrobp
Q58DZ9,Syndig1
O55207,Synj2
P29101,Syt2
P40748,Syt3
Q6P7B0,Wars
D3ZHP7,Ulk3
Q9R1B1,Timm10b
Q5M9G6,Snip1
Q4JM44,Sgms2
P57769,Snx16
D3ZUC6,Topaz1
Q9EPZ7,Slco1c1
Q66HL2,Cttn
P30937,Sstr4
Q29YR5,Sult2b1
Q91XS8,Stk17b
P63043,Stmn4
Q4V8K1,Steap4
P13086,Suclg1
P50279,Stx2
Q62753,Stxbp2
Q08851,Stx5
Q63635,Stx6
Q5I0H3,Sumo1
Q02563,Sv2a
Q63564,Sv2b
Q9Z2I6,Sv2c
Q4KLG3,Svbp
Q9Z2I7,Svop
P02783,Svs4
D3ZH22,Slc50a1
Q63ZV7,Swi5
P61959,Sumo2
Q66H56,Tti2
Q5XI57,Ttll10
Q5PPI9,Ttll1
Q9QXJ0,Ttl
O88808,Tub
P0C5H6,Igsf9
D3ZB51,Igsf9b
Q5XIM7,Kars
Q920J4,Txnl1
P04177,Th
Q5FVR2,Tymp
Q5Q0T9,Metrn
Q8R4Z9,Mfn1
Q672K1,Nox3
P24528,Mgmt
Q924V1,Nox4
Q924R9,Nap1l3
Q5BJN5,Chchd4
Q6T3U3,Npc1l1
Q6AXU7,Mif4gd
Q6P719,Mmgt2
Q63341,Mmp12
O35548,Mmp16
D3ZJ47,Minar1
O08957,Nrn1
Q63372,Nrxn1
Q5I0D6,Nostrin
P70490,Mfge8
P97523,Met
Q8R500,Mfn2
Q09325,Mgat1
Q9QW30,Notch2
Q80WA4,Nova1
Q8R431,Mgll
P08494,Mgp
Q5XIQ4,Mgrn1
Q08834,Mgat5
Q56UD9,Npbwr1
P07152,Mmp10
Q6AYQ6,Mmadhc
P0C1T0,Mmel1
Q10739,Mmp14
Q02253,Aldh6a1
Q07310,Nrxn3
Q9QYU7,Nsa2
O35049,Smpd3
Q6AXQ8,Mns1
Q6Q0N3,Nt5dc2
Q9QXS4,Nat8f3
Q62633,Slc10a2
Q6AYU1,Morf4l1
P61972,Nutf2
P34131,Ntf4
Q6AYP2,Mfap3l
Q4KM98,Mff
Q9R172,Notch3
Q27W02,Magoh
Q9WV87,Nox1
Q66H59,Npl
P13084,Npm1
P0C0L6,Npsr1
Q8K4R8,Slc34a3
Q9ESQ9,Npvf
Q8K1M5,Npw
Q63447,Npy4r
Q63634,Npy5r
D3ZBP4,Mical1
D4AE48,Midn
P30904,Mif
P70503,Nr0b1
P97947,Nr0b2
Q63503,Nr1d1
Q63504,Nr1d2
Q62755,Nr1h2
Q62685,Nr1h3
Q62735,Nr1h4
Q5BJQ2,Mindy1
O54902,Slc11a2
Q9QXN4,Miox
Q01992,Mipep
P09011,Mip
Q7TSA0,Rhot2
F1LQ48,Hnrnpl
Q62826,Hnrnpm
Q6P747,Hp1bp3
Q5XIH9,Hpdl
Q9ESG5,Hs3st1
Q9QYN8,Hrh3
P82995,Hsp90aa1
P27605,Hprt1
P83581,Hspa4l
D4A9E1,Hsbp1l1
P09635,Hoxa4
P18864,Hoxb7
Q9WU74,Lsr
Q9Z2K5,Mlst8
Q9R0Q2,Ltb4r
Q924U0,Ltb4r2
Q00918,Ltbp1
O35806,Ltbp2
Q925U2,Ltc4s
Q6P791,Lamtor1
Q5U204,Lamtor3
Q68FR7,Ltv1
P51886,Lum
Q5BJW5,Lurap1l
D4A8G3,Lurap1
Q9ESV1,Luzp1
Q2KMM4,Alox12b
D3ZQF9,Alox12e
Q8K4F2,Alox15b
Q64361,Lxn
Q6MG53,Ly6g5b
Q8CHN2,Ly6g5c
Q6MG58,Ly6g6d
Q6MG56,Ly6g6f
Q63317,Ly6b
Q6P7A9,Gaa
P30836,Sell
P98105,Sele
P98106,Selp
Q6AYK5,Lyar
Q66HH3,Lyl1
Q80T22,Mfsd4b
Q5I0J5,Mitd1
Q9QYK3,Nrbf2
P97686,Nrcam
P21708,Mapk3
Q63454,Mapk4
P27704,Mapk6
P49185,Mapk8
P49187,Mapk10
Q9WTY9,Mapk13
Q4G050,Mknk1
Q5FVQ4,Mlec
A0A096MK47,Mlip
Q62625,Map1lc3b
B5DF51,Mmgt1
Q5BJV9,Wdyhv1
Q5PT56,Slc10a4
Q4JLT5,Slc10a5
P26435,Slc10a1
Q6QI89,Morf4l2
Q9ES58,Cd200r1
P18280,Ntf3
Q5BJX0,Ntmt1
Q9Z2J4,Nexn
P97526,Nf1
Q6AYG7,Nfatc2ip
Q5XIT9,Mccc2
P16610,Tacr2
Q5XIE9,Med20
Q5FVJ5,Bmerb1
Q9WVA9,Npff
Q9R044,Nphs1
Q9ES54,Nploc4
P0C0P7,Nps
P47971,Nptx1
P97738,Nptx2
O35764,Nptxr
P21555,Npy1r
P07808,Npy
Q6AY80,Nqo2
Q68LP1,Mib2
Q62946,Mia
D4A1F2,Mical2
Q6AYL6,Spata18
Q4G072,Lpar6
O88382,Magi2
Q9JK71,Magi3
Q6AYQ0,Magix
P12526,Mas1
P52164,Max
P19999,Mbl1
Q924Z9,Ntn1
Q5PQM4,Mybphl
Q9WTZ3,Mbtps1
P14600,Tacr1
P16177,Tacr3
Q4V7C9,Nkap
P18298,Mat2a
