"Accession","SPC","SURFY","Town","Cunha","Diaz.Ramos"
"P78410",4,1,1,1,1
"Q8TDQ1",4,1,1,1,1
"A4QMS7",0,0,0,0,0
"Q7Z624",0,0,0,0,0
"O75208",0,0,0,0,0
"Q7Z7K0",0,0,0,0,0
"Q9P000",0,0,0,0,0
"A0A1B0GTH6",0,0,0,0,0
"Q8NEV1",0,0,0,0,0
"Q96KE9",0,0,0,0,0
"Q9H0P7",0,0,0,0,0
"P33681",4,1,1,1,1
"P02511",1,0,1,0,0
"Q8N4T0",0,0,0,0,0
"Q5RI15",0,0,0,0,0
"Q96KH6",0,0,0,0,0
"P20933",0,0,0,0,0
"Q494R4",0,0,0,0,0
"Q96MT7",0,0,0,0,0
"Q4V339",0,0,0,0,0
"Q86VB7",4,1,1,1,1
"Q8TAZ6",2,0,1,1,0
"Q8NCR3",0,0,0,0,0
"Q96LM9",0,0,0,0,0
"P53420",0,0,0,0,0
"A2IDD5",0,0,0,0,0
"Q02952",0,0,0,0,0
"Q86UT8",0,0,0,0,0
"O15194",0,0,0,0,0
"O14613",0,0,0,0,0
"P30260",0,0,0,0,0
"O75175",0,0,0,0,0
"Q16611",2,0,1,1,0
"Q07065",2,0,1,1,0
"Q96B67",0,0,0,0,0
"Q15327",0,0,0,0,0
"P78358",0,0,0,0,0
"Q99653",0,0,0,0,0
"P0CG37",1,1,0,0,0
"A4D2H0",1,0,1,0,0
"P17544",0,0,0,0,0
"Q8N5B7",1,0,1,0,0
"Q6ZMG9",1,0,1,0,0
"Q9GZV1",0,0,0,0,0
"Q9NWQ9",0,0,0,0,0
"Q8TE59",0,0,0,0,0
"Q99490",0,0,0,0,0
"Q9H981",0,0,0,0,0
"O96018",0,0,0,0,0
"Q9NPU4",2,1,0,1,0
"G3V211",0,0,0,0,0
"P34969",3,1,0,1,1
"Q5VV42",2,0,1,1,0
"A6NEK1",0,0,0,0,0
"Q8IWX8",0,0,0,0,0
"Q9BZE3",0,0,0,0,0
"Q2M329",0,0,0,0,0
"P20292",2,0,0,1,1
"O94823",1,0,1,0,0
"Q9H6S1",0,0,0,0,0
"Q8N7X0",0,0,0,0,0
"Q96BM1",0,0,0,0,0
"O95704",0,0,0,0,0
"Q9Y6A2",1,0,1,0,0
"Q15762",4,1,1,1,1
"O15335",0,0,0,0,0
"Q9P2E5",1,0,1,0,0
"Q99965",3,1,1,1,0
"P0DML2",0,0,0,0,0
"P27348",0,0,0,0,0
"Q01954",0,0,0,0,0
"P20273",4,1,1,1,1
"Q8WV93",0,0,0,0,0
"Q68DC2",0,0,0,0,0
"Q8TDN4",0,0,0,0,0
"Q5T4W7",0,0,0,0,0
"Q92974",0,0,0,0,0
"A9YTQ3",0,0,0,0,0
"Q02928",0,0,0,0,0
"O60706",3,1,1,1,0
"P00325",0,0,0,0,0
"O14983",0,0,0,0,0
"Q9P2S6",0,0,0,0,0
"Q9P241",1,0,0,1,0
"Q9Y2B0",0,0,0,0,0
"Q6NXT1",0,0,0,0,0
"P02750",0,0,0,0,0
"Q9NR81",0,0,0,0,0
"Q29974",4,1,1,1,1
"Q00535",0,0,0,0,0
"P59510",0,0,0,0,0
"Q9Y478",0,0,0,0,0
"P63098",0,0,0,0,0
"O60513",1,0,1,0,0
"O95067",0,0,0,0,0
"P02649",1,0,1,0,0
"Q3KP44",0,0,0,0,0
"Q8NFJ9",0,0,0,0,0
"Q96QE3",0,0,0,0,0
"Q00534",0,0,0,0,0
"P60953",0,0,0,0,0
"P78325",4,1,1,1,1
"P50238",0,0,0,0,0
"Q9NQW6",0,0,0,0,0
"P15289",1,0,1,0,0
"P50613",0,0,0,0,0
"Q6QNK2",3,1,1,1,0
"Q9NR71",1,0,1,0,0
"Q96RK4",0,0,0,0,0
"Q8WWL7",0,0,0,0,0
"Q7Z628",0,0,0,0,0
"Q9H2U9",3,1,1,1,0
"P54619",0,0,0,0,0
"Q9NUG4",0,0,0,0,0
"O15072",0,0,0,0,0
"Q9Y5K6",0,0,0,0,0
"P49902",0,0,0,0,0
"Q13367",0,0,0,0,0
"Q5W186",0,0,0,0,0
"Q8NB49",2,0,1,1,0
"Q8N3I7",0,0,0,0,0
"Q9H3M9",0,0,0,0,0
"Q96G01",0,0,0,0,0
"O95400",0,0,0,0,0
"Q9Y6H3",0,0,0,0,0
"O43313",0,0,0,0,0
"Q13541",0,0,0,0,0
"P07858",1,0,0,0,1
"P49336",0,0,0,0,0
"Q6ZP65",0,0,0,0,0
"Q00532",0,0,0,0,0
"O14678",1,0,1,0,0
"O15013",0,0,0,0,0
"Q9UKU7",0,0,0,0,0
"P07355",1,0,1,0,0
"Q9ULH1",0,0,0,0,0
"D6RIA3",0,0,0,0,0
"Q86YS7",0,0,0,0,0
"Q6IPU0",0,0,0,0,0
"P61221",0,0,0,0,0
"Q8NE71",0,0,0,0,0
"Q53H80",0,0,0,0,0
"Q9NRG0",0,0,0,0,0
"Q8WW43",2,0,1,1,0
"P07550",4,1,1,1,1
"Q9NUQ8",0,0,0,0,0
"Q86X95",0,0,0,0,0
"Q8IVW4",0,0,0,0,0
"Q9UHD1",0,0,0,0,0
"O43150",0,0,0,0,0
"Q01814",3,1,1,1,0
"Q5MAI5",0,0,0,0,0
"Q7L8J4",0,0,0,0,0
"Q9NW68",0,0,0,0,0
"P10415",1,0,1,0,0
"Q8N143",0,0,0,0,0
"Q8WXI3",0,0,0,0,0
"Q9BWT1",0,0,0,0,0
"O14862",0,0,0,0,0
"Q9H5V8",4,1,1,1,1
"Q5TH69",1,0,1,0,0
"Q8NER5",2,1,0,1,0
"P37023",3,1,1,1,0
"P00736",0,0,0,0,0
"A0A1B0GU71",0,0,0,0,0
"Q9BZC7",2,1,0,1,0
"P08319",0,0,0,0,0
"P55008",0,0,0,0,0
"Q03154",0,0,0,0,0
"Q9NX38",0,0,0,0,0
"P25100",3,1,1,1,0
"Q15067",0,0,0,0,0
"Q9UKQ2",4,1,1,1,1
"P20160",0,0,0,0,0
"Q8WWF8",0,0,0,0,0
"Q9BXK5",1,0,1,0,0
"P09326",3,1,0,1,1
"Q67FW5",0,0,0,0,0
"Q8IZS8",1,0,1,0,0
"O95561",0,0,0,0,0
"Q9NSG2",0,0,0,0,0
"Q9H4A4",0,0,0,0,0
"P47756",0,0,0,0,0
"Q96IZ2",1,0,0,1,0
"O95180",2,0,1,1,0
"Q7Z5R6",0,0,0,0,0
"Q9NQS1",0,0,0,0,0
"Q9H9E3",0,0,0,0,0
"Q86Z20",0,0,0,0,0
"Q5IJ48",3,1,1,1,0
"O75629",0,0,0,0,0
"Q4G0I0",0,0,0,0,0
"Q8WTQ4",0,0,0,0,0
"P56750",2,0,1,1,0
"Q9ULU8",0,0,0,0,0
"Q32NC0",0,0,0,0,0
"Q6P6C2",1,0,0,1,0
"Q8N5C1",3,1,1,1,0
"Q6UWU4",2,0,1,1,0
"P51572",2,0,1,1,0
"Q8ND07",0,0,0,0,0
"P55196",0,0,0,0,0
"Q13639",3,1,1,1,0
"P50750",0,0,0,0,0
"Q9BV10",0,0,0,0,0
"P04632",0,0,0,0,0
"P27797",1,0,1,0,0
"Q8IX95",0,0,0,0,0
"O14519",0,0,0,0,0
"Q9UPQ3",0,0,0,0,0
"Q9GZN4",0,0,0,0,0
"P30038",0,0,0,0,0
"Q9UFF9",0,0,0,0,0
"Q04917",0,0,0,0,0
"P53365",0,0,0,0,0
"Q86Z23",0,0,0,0,0
"P0C7U1",0,0,0,0,0
"P30411",3,1,1,1,0
"Q96F25",1,0,1,0,0
"Q96BS2",0,0,0,0,0
"P20039",4,1,1,1,1
"Q8N812",0,0,0,0,0
"P29274",3,1,0,1,1
"O60312",2,0,1,1,0
"Q92527",0,0,0,0,0
"P22680",0,0,0,0,0
"O43822",0,0,0,0,0
"P40394",0,0,0,0,0
"P51826",0,0,0,0,0
"Q92870",0,0,0,0,0
"Q15018",0,0,0,0,0
